YEAR,1. Who is your neighborhood community organizer?,2. What type of garden do you have?,3. How long have you been growing with Home Gardens?,4. Did you garden this year?,"If you did NOT garden this year, please explain why.","5. Did you get enough seeds and starts for your garden? If no, please explain.",6. Has your fruit and vegetable consumption increased since gardening with Home Gardens?,7. Has growing a garden reduced the amount of times you visited a food pantry this season?,8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been feeling optimistic about the future],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been feeling useful] / 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [Me he sentido útil],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been feeling relaxed]/ 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [Me he sentido relajado/a],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been dealing with problems well] / 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [He estado lidiando bien con los problemas],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been thinking clearly] 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [He estado pensando claramente],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been feeling close to other people] / 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [Me he sentido cerca de otras personas],8. Below are some statements about feelings and thoughts. Check the box that best describes your experience since you started gardening with Home Gardens. [I've been able to make up my own mind about things] / 8. A continuación se presentan algunas afirmaciones sobre sentimientos y pensamientos. Marque la opción que mejor describa su experiencia desde que ingreso al programa de Home Gardens. [He podido tomar mis propias decisiones],"9. Since joining the Home Gardens program, did you increase your knowledge/skill in... [Growing food?]","9. Since joining the Home Gardens program, did you increase your knowledge/skill in... [Cooking or preparing fresh produce?]","9. Since joining the Home Gardens program, did you increase your knowledge/skill in... [Using natural ingredients to make green cleaning products?]",10. Because of your garden did you? [Share produce from your garden with people outside your household? ],10. Because of your garden did you? [Meet any new neighbors?],10. Because of your garden did you? [Save money on groceries?],"10. Because of your garden did you? [Preserve (freeze, can, dry, pickle) any produce from your garden?]",16. Because of your garden did you....? [Experience any therapeutic (mental/emotional wellbeing) benefits from your garden?],11. Did having a garden increase your level of physical activity?,12. Please describe you and your family's experience in your garden this year.,13. Are there any workshops or skills training you would like to attend in the future?,"14. Did you receive the culturally relevant plants that you needed? If not, what items can we provide for you in the future? / 14. ¿Recibió las plantas culturalmente relevantes que necesitaba? Yes no, ¿qué artículos podrían proporcionarle?",15. How is your relationship with your community organizer? How could your community organizer better support you?,16. How often do you talk with your community organizer?,17. Is there anything else you would like us to know?,20. What were your favorite parts of gardening this year? ,6. Did you get plant starts from Plant Distribution Day?,"11. Did you participate in the CSA (Food Box) Program this year? 
",13. Do you have children in your home? (select all that apply),14. Did having a vegetable garden change your children's interest in eating fresh fruits and veggies?,"15. If you have school-aged children in your household, what school(s) are they enrolled in?",17. Did you attend a Growing Gardens virtual workshop or in-person class this season?,"If you did NOT attend a virtual workshop, let us know why (check all that apply):",21. What else would you like the see the Home Gardens program do in the future?,11. Did you receive a produce or food box from Growing Gardens at any time during the pandemic?,"9. In what ways has the garden been a benefit to you, your children or your community? (2018) "
2024,Angelica (Este de Portland/Gresham),Raised bed,This is my first year,Yes,,Yes,Yes,Yes,All of the time,Often,All of the time,Often,Often,Often,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,Spending time together preparing the whole process of the garden to receive more plants.,Know how to get more plants,Yes,Giving more products for the garden,Once a month,,,,,,,,,,,,
2024,Isabel (Cully/Parkrose),Raised bed,This is my first year,Yes,,"No, because my orchard is small",Yes,No,All of the time,All of the time,Often,Often,All of the time,Often,All of the time,Yes,Yes,Not sure,Yes,No,Yes,Yes,,I was MORE physically active because of the garden,We enjoy working together planting and harvesting.,"Yes, learn how to can food, vegetable or fruit if","Yes ,scissors and a barbecue","With workshops, dealing with crops",Once a month,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my third year,Yes,,Yes,Yes,Yes,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,it brought me closer to my family,if from pests,yes thank you,everything is fine,Once a month,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my second year,Yes,,Yes,Yes,Yes,All of the time,All of the time,Often,Often,Often,Often,All of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,Very nice because we are anxious to see the fruits of our labor and effort.,Pastry,Yes I received them,I have enough Apollo thank you,Once a month,,,,,,,,,,,,
2024,Isabel (Cully/Parkrose),Community Garden,This is my third year,Yes,,,Yes,No,All of the time,All of the time,All of the time,None of the time,None of the time,Rara vez,All of the time,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,,I was LESS physically active because of the gardent sure,Yes,Yes,Yes I receive tomato,They are already doing it thank you,Once a month,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),Raised bed,This is my third year,Yes,,Yes was enough,Yes,Yes,Often,Often,Often,Often,Often,Often,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,Good coexistence,Learn more about plants,Yes I received everything,I think you are doing a good job,Once a month,,,,,,,,,,,,
2024,Isabel (Cully/Parkrose),Raised bed,This is my third year,Yes,,The seeds and plants were very useful for my family.,Yes,Yes,Often,Often,Often,Some of the time,Often,Often,Often,Yes,Yes,Yes,Yes,No,Yes,Yes,,I was MORE physically active because of the garden,"It was a cooperative, family work with great achievements collected from the production of the plantation. Our food is more nutritious.",Learn how to make natural soaps without chemicals and natural fertilizers.,"Yes, I received plants",Continuing with the classes on how they have been done to have plants and know more about how to make organic fertilizers.,Once a month,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my second year,No,I was out of the country,,Yes,Yes,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,It is fun and de-stressing,No,"Yes, everything is fine",Everything is fine,Once a month,,,,,,,,,,,,
2024,Ceci (Condado de Washington),Containers,This is my first year,Yes,,Yes was enough,Yes,I do not visit food pantries anyway.,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Yes,Yes,Yes,Yes,No,Yes,Yes,,I was MORE physically active because of the garden,My family is happy because of the zucchini and chili peppers.,Yes with how to cure diseased fruit trees.,I am fine with what they gave me,“I have problems on the Columba Pat bending over I would like a high bench.”,Once per season,,,,,,,,,,,,
2024,Ceci (Condado de Washington),Containers,This is my first year,Yes,,Yes I received enough for my pots,Yes,I do not visit food pantries anyway.,All of the time,All of the time,All of the time,Often,Often,Often,All of the time,Yes,Yes,Yes,No,Yes,Yes,Yes,,I was MORE physically active because of the garden,My family told me that now I had a harvest.,I am not aware of any more training.,It was good what they gave me,I would like a high bench because I have spinal problems and it is difficult for me to bend down.,Once per season,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),Containers,This is my first year,No,I did not have a suitable place.,Yes,Not sure,Not sure,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Yes,Yes,Yes,Not sure,Yes,Not sure,Not sure,,I was LESS physically active because of the gardent sure,I didn't have the opportunity to do it.,Anybody is good to learn.,Yes,In more meetings,Once per season,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my second year,Yes,,Yes,Not sure,I do not visit food pantries anyway.,Some of the time,Often,Often,Often,All of the time,Some of the time,All of the time,Yes,Yes,Not sure,Yes,No,Not sure,No,,I was MORE physically active because of the garden,We come together as a family to take care of the garden.,I don't know.,Yes,I don't know,Once per season,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),Raised bed,This is my first year,Yes,,Yes,Yes,Not sure,Often,Often,Often,Some of the time,Some of the time,Some of the time,Often,Yes,Yes,Yes,No,No,Yes,Yes,,I was MORE physically active because of the garden,It's nice to have vegetables on hand when you need them.,Yes,Yes,Yes I like it when they provide you with boxes of vegetables,Once per season,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),Containers,This is my third year,Yes,,Yes,Yes,Yes,None of the time,None of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,Yes,No,Yes,Yes,,I was MORE physically active because of the garden,It was nice to go and harvest with my daughters everything we planted and they were happy to bring down all the vegetables.,Yes,Yes,In more talks about how to get rid of plant bugs and about pesticides.,Once per season,,,,,,,,,,,,
2024,Isabel (Cully/Parkrose),In-Ground,This is my second year,Yes,,Yes,Yes,Yes,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,,I was MORE physically active because of the garden,Working together.,"Yes , How to can chicken, vegetables.",Yes,How to fertilize the plants horticulturally and nourish the plants.,Once per season,,,,,,,,,,,,
2024,Isabel (Cully/Parkrose),Containers,This is my third year,Yes,,Yes,Yes,I do not visit food pantries anyway.,Often,Often,Often,Often,Often,Often,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,More participation to sow,Canned fruits,Yes,I think for the moment it's fine with the support.,Once per season,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my first year,Yes,"chiles, jitomates, tomatillo,",Yes,Yes,Not sure,Often,Often,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,very good,About pests,Yes,Answering questions,Once per season,,,,,,,,,,,,
2024,Isabel (Cully/Parkrose),Raised bed,This is my first year,No,I had to move and for reasons beyond my control,Yes enough seeds,Yes,Not sure,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Often,No,Yes,Yes,Yes,No,Yes,No,,I was LESS physically active because of the gardent sure,Eating fresh vegetables,Yes how to plant chayotes,Yes,All very well,Once per season,,,,,,,,,,,,
2024,Isabel (Cully/Parkrose),Containers,This is my third year,Yes,,Yes,Yes,Not sure,Some of the time,Often,Often,Some of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,No,Not sure,Yes,No,,I was MORE physically active because of the garden,It is very exciting when we harvest the vegetables,That we always have workshops to motivate us to continue planting.,Yes,We are very grateful for the plants that we are given,Once per season,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),Containers,This is my first year,No,Because I have no space,Yes,Yes,Yes,All of the time,All of the time,Some of the time,Some of the time,Often,Some of the time,All of the time,Yes,Yes,Yes,No,Not sure,Yes,Yes,,I was MORE physically active because of the garden,I liked my plants and we enjoyed cutting tomatoes with my daughters.,That they guide us on how to plant,Yes,Support as needed.,Once per season,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my third year,Yes,,Yes,Yes,Yes,Often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,My family and I ate more vegetables,No,Yes,I am satisfied,Once per season,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),Community Garden,This is my second year,Yes,,Yes,Yes,Yes,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,Very good,Not at the moment,Yes,I do not know,Once per season,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my third year,Yes,Yes,Yes,Yes,Yes,Some of the time,Some of the time,Often,Often,Some of the time,Often,All of the time,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,It was very good harvesting everything was good.,Study the time of each planting,Yes is good,Know when each plant is planted to bear fruit at the right time.,Once per season,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my third year,Yes,,Yes I received enough to plant,Yes,Yes,Often,Often,Often,Often,Often,Often,Often,Yes,Yes,Yes,Yes,No,Yes,Yes,,I was LESS physically active because of the gardent sure,Very grateful to learn this new skill.,Green cleaners,Yes!,All is well.,Once per season,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),Community Garden,This is my third year,Yes,,Yes,Yes,Yes,Often,Often,Some of the time,Some of the time,Some of the time,Often,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,My family and I have spent quality time and fun and learning when working in our garden.,I am interested in any workshops you offer.,Yes. But I am also interested in fruit trees.,Sharing information,Once per season,,,,,,,,,,,,
2024,Camilo (Norte Portland),Raised bed,This is my third year,Yes,I gardened,Enough to sow,Yes,Yes,None of the time,All of the time,All of the time,All of the time,All of the time,Some of the time,All of the time,Yes,Yes,Yes,Yes,No,Yes,Yes,,I was LESS physically active because of the garden,The participation of my children,Healing plants,Everything is fine.,Give her more plants,Once per season,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),In-Ground,This is my second year,Yes,,Yes,Not sure,Not sure,Often,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Yes,Yes,No,Yes,No,Yes,Yes,,I was LESS physically active because of the gardent sure,"My garden is small, so the changes have not been many.",How and when to sow. Techniques to obtain a better harvest. How to prepare the soil etc.,What we eat the most is tomatoes and there are never enough seedlings. We only get a couple and we have to buy more at the store.,Angelica is very supportive.,About 4 or 5 times per year,,,,,,,,,,,,
2024,Isabel (Cully/Parkrose),Containers,This is my second year,Yes,,Yes,Yes,Yes,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Yes,Yes,Yes,Yes,No,Yes,No,,I was MORE physically active because of the garden,I hope the next one will be better.,I don't know,Tomatillo,I like to,Several times a year,,,,,,,,,,,,
2024,Camilo (North Portland),Raised bed,This is my first year,Yes,,Yes,Not sure,I went to food pantries and received emergency food boxes LESS often,Often,Often,Some of the time,Often,Often,Often,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,I was MORE physically active because of the garden,"Wonderful experience. We are looking forward and planning for next years garden, We've tried so many newer veggies and more.",Tips on keeping indoor and outdoor plants alive and plentiful.,Yes,Oh he was a great support and taught me many things. Mr. Camillo Centeno is great!,Very often,This program is great and id like to continue with it. i've learned so much and many in my village have been blessed with our garden this year.,,,,,,,,,,,
2024,Lindsay (North Clackamas),In-Ground,This is my second year,Yes,,"No, was out of seeds and plants for 2 years. Dont know what expectations should be. I did get a few plants",Not sure,Not sure,Often,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,No,No,No,Yes,No,Yes,Yes,,I was MORE physically active because of the garden,We got some seeds from my library and tried to grow them. Pulled weeds regularly. We spent a lot of time with family and neighbors harvesting and canning.,Yes. Are there efficient ways to control weeds? Are there ways to keep deer away? Still waiting for mushroom growing class. Are you supposed to fertilize plants after planting and with what? How can I start sucesessfully plants early,"Cucumbers, corn seed, yellow & green squash, snap pea seed, pumpkins, onion sets, basil, parsley, dill, cabbage",Provide things we were told we would get 1st year. My stuff got lost when organizers changed. Inform us of classes/events. Maybe there hasn't been any.,When i was told there were some plants,"Would like to get the mulch and supplies that I was supposed to get 1st year.
Feel like I might have missed some important communication on the program.",,,,,,,,,,,
2024,Carolina (Norte de Clackamas),Raised bed,This is my first year,Yes,,,Yes,Not sure,Often,All of the time,All of the time,Often,Often,All of the time,Often,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,,I was MORE physically active because of the garden,Excellent,Yes,Yes,All excellent,,,,,,,,,,,,,
2024,Angelica (Este de Portland/Gresham),Containers,This is my second year,Yes,,Yes,Yes,I do not visit food pantries anyway.,None of the time,None of the time,All of the time,Some of the time,None of the time,None of the time,All of the time,Yes,Yes,Yes,No,No,Yes,No,,I was MORE physically active because of the garden,Great for my kids to get them involved in planting and watering the plants.,No,Yes,I do not know,,,,,,,,,,,Classes,,
2023,Carolina,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,Gardening,,,,,The harvest,Yes,Yes,"Yeah; Children under 5 years old, Yes, 13-17 years old",Their interest increased,,Yes,,Everything is fine,,
2023,Carolina,Containers,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,No,No,Yes,No,Yes,I was MORE physically active because of the garden,,How to can and freeze the harvest,,,,,Harvest with my daughters,Yes,Yes,"Yeah; Children under 5 years old, Yes, 13-17 years old",Their interest increased,,No,I was busy,More workshops,,
2023,Carolina,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes MORE often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Not sure,I was MORE physically active because of the garden,,Knowledge of more plants,,,,,Living with my children,Yes,Yes,"Yeah; Under 5 years old, Yes, 6-12 years old, Yes, 13-17 years old",Their interest increased,,Yes,,How to know if the soil is good for planting,,
2023,Carolina,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,Healthy food.,,"Wonderful, Mrs. Carolina supports us a lot in all aspects",,,All,Yes,Yes,"Yes, 13-17 years",Their interest increased,,Yes,,I would like more how to combat vegetable pests,,
2023,Carolina,Containers,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,"I think I learned a lot in the growing garden workshops and the workshop that I loved was the hajo workshop, thanks to Mrs. Carolina and Angelica",,She is very active,,,My favorite part was when my wife and I won the biggest cucumbers,Yes,Yes,No,I don't have children,,Yes,,Support for those of us who have already completed 3 years in these workshops,,
2023,Carolina,In-Ground,,Yes,,Yes,Yes,Stay the same as before I had my garden,,,,,,,,Yes,Yes,,Yes,No,Yes,No,Yes,I was MORE physically active because of the garden,,How to make an irrigation system,,She is very respectful and friendly,,,Seeing what I harvest gives me a lot of emotion.,Yes,Yes,No,I don't have children,,No,I never received an invitation,Know how to plant mushrooms,,
2023,Carolina,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,No,No,Yes,Yes,Yes,I was MORE physically active because of the garden,,Cooking Healthy Meals,,it helps us and provides us with what is necessary for our cultivation.,,,"The beautiful thing was seeing my garden and cooking with my organic vegetables, I felt very proud of myself😄",Yes,Yes,"Yes, 13-17 years",Their interest increased,,No,I was busy,More classes,,
2023,Carolina,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,No,I was MORE physically active because of the garden,,Workshops to make fruit preserves,,,,,My favorite part is cutting the entire season's harvest,Yes,Yes,"Yeah; Children under 5 years old, Yes, 13-17 years old",Their interest increased,,Yes,,more workshops,,
2023,Angelica,Accessible Raised Bed,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,No,Yes,I was MORE physically active because of the garden,,about pests,,,,,is learning to eat fresh and organic vegetables,Yes,Yes,No,I don't have children,,Yes,,give us fruit trees,,
2023,Angelica,Accessible Raised Bed,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,how to care for lemons,,,,,harvest lots of vegetables and share,Yes,Yes,No,Their interest increased,,Yes,,give us fruit trees,,
2023,Angelica,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,pest workshop,,All Good,,,watch my vegetables grow,Yes,No,No,I don't have children,,Yes,,I don't know,,
2023,Kathy,Containers,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Stayed the same,Yes,,Yes,No,Yes,Yes,Yes,I was MORE physically active because of the garden,,Learn how to grow different vegetables,,,,,Water and care for,Yes,Yes,No,Their interest increased,,No,I never received an invitation,May cc be kinder,,
2023,Carolina,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,Compost,,,,,Share,Yes,No,"Yes, 13-17 years",Their interest increased,,Yes,,I WOULD LIKE TO RECEIVE MORE PLANTS.,,
2023,Isabel,Community Garden,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,HOW TO KEEP MY HARVEST,,"Very close, always willing to answer any question",,,GROWING MY OWN FOOD.,Yes,Yes,No,Their interest increased,,Yes,I was busy,More people interested in learning to harvest,,
2023,Isabel,In-Ground,,Yes,,Yes,Yes,Stay the same as before I had my garden,,,,,,,,Yes,Yes,,Yes,Yes,Yes,No,Yes,I was MORE physically active because of the garden,,How to prepare escabeche,,,,,"Move the earth, sow my seeds and see the fruits",Yes,No,No,Their interest didn't change,,Yes,,Share recipes,,
2023,Isabel,Containers,,Yes,,Yes,Yes,Stay the same as before I had my garden,,,,,,,,Yes,Yes,,No,Yes,Yes,No,Yes,I was MORE physically active because of the garden,,How to make canned vegetables,,I am adopted from Isabel Cruz,,,When the fruit grew,Yes,No,"Yes, 13-17 years",Their interest didn't change,,Yes,,"How to take care of my tomatoes, a plant always makes me 🍅 undone because they grow burned in the middle",,
2023,Camilo,Accessible Raised Bed,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,No,Yes,Yes,Yes,I was MORE physically active because of the garden,,I don't have an answer for now,,,,,See how Ivan grows and excitement when seeing the first fruits,Yes,Yes,No,I don't have children,,No,I was busy,More help,,
2023,Isabel,In-Ground,,Yes,Nothing grew,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,No,Stayed the same,,No,No,No,No,Yes,Stay the same as before I had my garden,,Where we can ask and give a particular and not a general answer,,Giving talks on how to preserve vegetables and plants for longer.,,,Small yellow tomatoes are my favorite,No,No,"Yes, 6-12 years",Their interest didn't change,,No,I was busy,How to use organic b fertilizers.,,
2023,Isabel,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,A workshop of medicinal and theuropetic herbs.,,,,,All.,Yes,Yes,"Yes, 6-12 years",Their interest increased,,Yes,,"Nothing, everything is fine",,
2023,Angelica,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,About irrigation,,,,,"That I was able to reap everything I sowed, everything was achieved",Yes,No,"Yes, 13-17 years",Their interest increased,,Yes,,Let them bear fruit trees,,
2023,Angelica,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,How to water plants and how to use rainwater,,,,,Watch my plantings grow,Yes,No,No,I don't have children,,No,I couldn't attend due to technology reasons.,Topics on how to be successful in what we sow,,
2023,Isabel,Accessible Raised Bed,,Yes,It's not my case,Yes,Yes,I went to food pantries and received emergency food boxes MORE often,,,,,,,,Yes,Yes,,No,Yes,Yes,No,No,I was MORE physically active because of the garden,,How to plant more seasonal vegetables,,Not very good,,,Sow and care well and wait for the harvest,Yes,Yes,No,Their interest increased,,Yes,I never received an invitation,May my coordinator have more communication with me,,
2023,Carolina,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,How to grow all year round,,Not very good,,,I harvested it,Yes,No,"Yes, 13-17 years",Their interest increased,,Yes,,More workshops,,
2023,Carolina,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,I would like to harvest more vegetables in the winter,,,,,When we harvest the first tomatoes,Yes,No,"Yes, 13-17 years",Their interest increased,,No,I never received an invitation,More workshops,,
2023,Camilo,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,I would like to know how to can,,,,,Plant,Yes,No,"Yes, 13-17 years",Their interest increased,,No,I never received an invitation,More classes,,
2023,Angelica,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes MORE often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,In the future I would like when I have to plant the cucumbers,,,,,When we plant cucumbers,Yes,Yes,No,Their interest increased,,Yes,I couldn't attend due to technology reasons.,Nothing more than that my garden is in a pot,,
2023,Angelica,Containers,,Yes,,Yes,Yes,Stay the same as before I had my garden,,,,,,,,Yes,Stayed the same,,No,No,No,No,Yes,I was MORE physically active because of the garden,,I do not know yet,,,,,Tomato and Chile,Yes,No,"Yes, 6-12 years",Their interest increased,,No,I was busy,Pests,,
2023,Angelica,In-Ground,,Yes,,Yes,Yes,Stay the same as before I had my garden,,,,,,,,Yes,Yes,,Yes,No,Yes,No,Not sure,I was MORE physically active because of the garden,,Preservation of fruits and vegetables,,Keep sending emails,,,Harvest with my children,Yes,Yes,"Yeah; Under 5 years old, Yes, 6-12 years old, Yes, 13-17 years old",Their interest increased,,Yes,,Let other colleagues participate more,,
2023,Angelica,In-Ground,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,How to freeze vegetables more,,She was very helpful,,,Watch my vegetables grow and harvest,Yes,Yes,"Yes, 6-12 years",Their interest increased,,Yes,,More potting soil and more tools,,
2023,Angelica,Accessible Raised Bed,,Yes,,Yes,Yes,Stay the same as before I had my garden,,,,,,,,Stayed the same,Stayed the same,,Yes,Yes,Yes,Yes,Yes,I was MORE physically active because of the garden,,In planting some of the vegetables,,Very cordial,,,Picking the vegetables,Yes,No,"Yes, 6-12 years",Their interest increased,,Yes,,More variety of vegetable plants.,,
2023,Angelica,Containers,,Yes,,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,Yes,Yes,,Yes,No,Yes,Yes,Yes,I was MORE physically active because of the garden,,Anything related to the harvest,,,,,Like watching my own garden grow.,Yes,No,"Yes, 6-12 years, Yes, 13-17 years",Their interest didn't change,,No,I never received an invitation,Testing,,
2023,Isabel,In-Ground,,Yes,I didn't enjoy farming,Yes,Yes,I went to food pantries and received emergency food boxes LESS often,,,,,,,,No,Yes,,Yes,Yes,Yes,Yes,Yes,I have been LESS active as a result of my garden,,No,,Angelica is very kind,,,Testing,Yes,Yes,"Yes, 13-17 years",Their interest increased,,Yes,I couldn't attend due to technology reasons.,na,,
